Year,BUYER_COUNTY,Morphine_equ
2006,ALAMANCE,36524.61962486418
2006,ALEXANDER,11079.462527000112
2006,ALLEGHANY,2412.194187500007
2006,ANSON,3869.3868194999845
2006,ASHE,7183.5914130001265
2006,AVERY,7790.928257000063
2006,BEAUFORT,12270.997761725257
2006,BERTIE,2938.717979999993
2006,BLADEN,14031.383098950233
2006,BRUNSWICK,45396.73540343914
2006,BUNCOMBE,77783.9555023926
2006,BURKE,43482.40559800167
2006,CABARRUS,50710.88588745368
2006,CALDWELL,33116.617452176564
2006,CARTERET,25314.55327952589
2006,CASWELL,2789.465598674997
2006,CATAWBA,59359.61145790346
2006,CHATHAM,8251.7951355001
2006,CHEROKEE,14538.02295800029
2006,CHOWAN,1738.2139380000037
2006,CLAY,3500.6768800000013
2006,CLEVELAND,30496.77151976367
2006,COLUMBUS,45150.74321930112
2006,CRAVEN,38318.80642403948
2006,CUMBERLAND,69552.2983850023
2006,CURRITUCK,2152.9700165750055
2006,DARE,12241.457394450163
2006,DAVIDSON,45193.31493895249
2006,DAVIE,13716.729807000176
2006,DUPLIN,9037.067208862682
2006,DURHAM,64019.29533521491
2006,EDGECOMBE,7406.332491175088
2006,FORSYTH,80151.33547635804
2006,FRANKLIN,10781.62335858766
2006,GASTON,82251.90718458281
2006,GATES,851.523487500001
2006,GRAHAM,3969.009143174989
2006,GRANVILLE,18004.727734500284
2006,GREENE,1916.9200202250063
2006,GUILFORD,115919.93807081135
2006,HALIFAX,9248.815731400178
2006,HARNETT,20874.246282125874
2006,HAYWOOD,23423.354548175837
2006,HENDERSON,44767.86132300246
2006,HERTFORD,7020.662820000115
2006,HOKE,5913.042883500026
2006,IREDELL,73512.15056950432
2006,JACKSON,11169.341612950131
2006,JOHNSTON,29050.01551476391
2006,JONES,1163.1753827250034
2006,LEE,21719.375448000563
2006,LENOIR,19943.97714022534
2006,LINCOLN,25805.05467453834
2006,MACON,13908.587171362735
2006,MADISON,5815.841689000013
2006,MARTIN,6187.465786500038
2006,MCDOWELL,13919.324801500095
2006,MECKLENBURG,112827.67374479143
2006,MITCHELL,10096.881736000181
2006,MONTGOMERY,9167.241345500175
2006,MOORE,33332.58059757596
2006,NASH,22740.681317588165
2006,NEW HANOVER,57804.26910702841
2006,NORTHAMPTON,1166.8867625000005
2006,ONSLOW,29006.884672726603
2006,ORANGE,21276.642616363177
2006,PAMLICO,2620.2881108624983
2006,PASQUOTANK,9165.020693862623
2006,PENDER,7924.556712712599
2006,PERQUIMANS,1816.8655202250068
2006,PERSON,15657.323902500133
2006,PITT,36582.49262917714
2006,POLK,5443.693505000035
2006,RANDOLPH,24660.930200938285
2006,RICHMOND,23318.74986736283
2006,ROBESON,48040.835843314555
2006,ROCKINGHAM,42811.58218253995
2006,ROWAN,48538.37868195278
2006,RUTHERFORD,22737.621302863045
2006,SAMPSON,14300.440013087888
2006,SCOTLAND,23547.702737500364
2006,STANLY,17888.472723087933
2006,STOKES,11426.88847136259
2006,SURRY,45651.97280617657
2006,SWAIN,9302.521215000077
2006,TRANSYLVANIA,11947.33660067524
2006,TYRRELL,521.0622359999985
2006,UNION,27682.71149186401
2006,VANCE,26204.54397050051
2006,WAKE,132287.97594694863
2006,WARREN,1778.2480913625025
2006,WASHINGTON,1573.4878500000032
2006,WATAUGA,11505.176832087725
2006,WAYNE,22666.69104695059
2006,WILKES,42885.45766236318
2006,WILSON,19352.870658862852
2006,YADKIN,7346.786085000046
2006,YANCEY,11077.713468500062
2007,ALAMANCE,44318.165151864596
2007,ALEXANDER,12683.657427500179
2007,ALLEGHANY,2905.425615
2007,ANSON,5006.990127000065
2007,ASHE,8108.455151500166
2007,AVERY,8965.566155862545
2007,BEAUFORT,14180.216354225233
2007,BERTIE,4090.2511125000037
2007,BLADEN,17050.318730812764
2007,BRUNSWICK,50040.48292170236
2007,BUNCOMBE,94950.07917076981
2007,BURKE,49417.93429017732
2007,CABARRUS,59436.34210941618
2007,CALDWELL,39555.14258540145
2007,CARTERET,30232.36809987607
2007,CASWELL,3214.189252499998
2007,CATAWBA,65558.98990411688
2007,CHATHAM,9681.190934862605
2007,CHEROKEE,17427.412940675404
2007,CHOWAN,2136.9019583624995
2007,CLAY,4024.9667750000085
2007,CLEVELAND,35370.56302516399
2007,COLUMBUS,53923.354544438946
2007,CRAVEN,43168.82710902724
2007,CUMBERLAND,77533.35997700298
2007,CURRITUCK,2846.827959300006
2007,DARE,14695.071045450206
2007,DAVIDSON,51607.44926654042
2007,DAVIE,16539.66055350024
2007,DUPLIN,10916.227326000193
2007,DURHAM,71806.37645634083
2007,EDGECOMBE,8835.813563025122
2007,FORSYTH,94578.68103114693
2007,FRANKLIN,11774.7649810002
2007,GASTON,105596.08286566008
2007,GATES,932.9728613625019
2007,GRAHAM,4778.319020812503
2007,GRANVILLE,19256.94618450036
2007,GREENE,1988.2917375000027
2007,GUILFORD,128796.86637628775
2007,HALIFAX,10888.520415712705
2007,HARNETT,25314.720390401177
2007,HAYWOOD,27506.146664926055
2007,HENDERSON,51006.4055145034
2007,HERTFORD,8344.690197862661
2007,HOKE,6986.157933500067
2007,IREDELL,76795.87549736699
2007,JACKSON,13373.16948707517
2007,JOHNSTON,33367.87847181423
2007,JONES,1548.1311413625035
2007,LEE,25581.482543500595
2007,LENOIR,23282.681003337977
2007,LINCOLN,20498.319630225782
2007,MACON,14627.358397950302
2007,MADISON,6197.015455500028
2007,MARTIN,6925.798602000063
2007,MCDOWELL,16606.638921862635
2007,MECKLENBURG,129599.32110176903
2007,MITCHELL,10770.21339408772
2007,MONTGOMERY,9373.913144500162
2007,MOORE,38164.86054861388
2007,NASH,25132.089007000934
2007,NEW HANOVER,64771.38883519154
2007,NORTHAMPTON,1546.1429175000012
2007,ONSLOW,35140.277778564334
2007,ORANGE,23521.858573500776
2007,PAMLICO,3023.2131932249918
2007,PASQUOTANK,10405.45940017509
2007,PENDER,8622.0697522126
2007,PERQUIMANS,2393.0358645000065
2007,PERSON,17819.298167500227
2007,PITT,42755.5050983647
2007,POLK,7036.929361000055
2007,RANDOLPH,30958.682352751257
2007,RICHMOND,25357.392094863142
2007,ROBESON,55042.50692467758
2007,ROCKINGHAM,50000.34402850293
2007,ROWAN,54343.847100590705
2007,RUTHERFORD,24184.196390000736
2007,SAMPSON,15085.715343800215
2007,SCOTLAND,24038.780404000423
2007,STANLY,20594.618297000434
2007,STOKES,13575.616169862644
2007,SURRY,53136.15941431443
2007,SWAIN,8758.270473000064
2007,TRANSYLVANIA,14213.50616422528
2007,TYRRELL,579.8015624999999
2007,UNION,32248.420785089478
2007,VANCE,30704.58835650053
2007,WAKE,154366.1130860722
2007,WARREN,1629.0697175000087
